mzmed,rtmed,180914JBIS_1,180914JBIS_2,180914JBIS_3,180914JNGJ_1,180914JNGJ_2,180914JNGJ_3,180914QC,180915CBCJ1_1,180915CBCJ1_2,180915CBCJ1_3,180915GBYJ_1,180915GBYJ_2,180915GBYJ_3,180915GGGP_1,180915GGGP_2,180915GGGP_3,180915JNMA_1,180915JNMA_2,180915JNMA_3,180915QC,180916GBAD1_1,180916GBAD1_2,180916GBAD1_3,180916GBCG_1,180916GBCG_2,180916GBCG_3,180916GGPJ_1,180916GGPJ_2,180916GGPJ_3,180916JBJJ_1,180916JBJJ_2,180916JBJJ_3,180916QC,180917CNDJ_1,180917CNDJ_2,180917CNDJ_3,180917CNSC_1,180917CNSC_2,180917CNSC_3,180917GNJJ1_1,180917GNJJ1_2,180917GNJJ1_3,180917GWIJ_1,180917GWIJ_2,180917GWIJ_3,180917QC,180919CBGS_1,180919CBGS_2,180919CBGS_3,180919CNGJ_1,180919CNGJ_2,180919CNGJ_3,180919GGGH_1,180919GGGH_2,180919GGGH_3,180919GGGY_1,180919GGGY_2,180919GGGY_3,180919JBWJ_1,180919JBWJ_2,180919JBWJ_3,180919JJJJ_1,180919JJJJ_2,180919JJJJ_3,180919JNYS_1,180919JNYS_2,180919JNYS_3,180919QC,180920CBCH_1,180920CBCH_2,180920CBCH_3,180920GGIC1_1,180920GGIC1_2,180920GGIC1_3,180920GGYP_1,180920GGYP_2,180920GGYP_3,180920GNCW_1,180920GNCW_2,180920GNCW_3,180920GWCC_1,180920GWCC_2,180920GWCC_3,180920JNMP_1,180920JNMP_2,180920JNMP_3,180920QC1,180920QC2,180928RI,181004CHAH_1,181004CHAH_2,181004CHAH_3,181004CHGL_1,181004CHGL_2,181004CHGL_3,181004CHHR_1,181004CHHR_2,181004CHHR_3,181004CHYN_1,181004CHYN_2,181004CHYN_3,181004QC,181005C_NIGE_1,181005C_NIGE_2,181005C_NIGE_3,181005CHGS_1,181005CHGS_2,181005CHGS_3,181005CHHN_1,181005CHHN_2,181005CHHN_3,181005O_CHIN_1,181005O_CHIN_2,181005O_CHIN_3,181005O_ETHI_1,181005O_ETHI_2,181005O_ETHI_3,181005O_INDI_1,181005O_INDI_2,181005O_NIGE_1,181005O_NIGE_2,181005O_NIGE_3,181005O_PAKI_1,181005O_PAKI_2,181005O_PAKI_3,181005QC1,181005QC2,181010O_INDI_1,181010O_INDI_2,181010O_INDI_3
40,0.13245,6617401.982,8231885.235,7492829.838,7169396.503,6404158.562,7658594.622,13738914.77,0,9433679.647,9499883.281,0,9768726.644,8723813.763,11183923.37,9943748.561,8417169.143,13176504.87,7521319.675,6557586.199,0,9173911.71,6121601.986,5647933.575,6184163.435,7692350.369,7202305.013,6653477.297,8447035.95,8154511.303,7635880.686,10062012.56,8238234.131,6149311.845,9101202.966,6675501.308,7766998.805,5475228.715,9219624.079,8205542.497,9176030.987,6027874.838,6023844.182,7839330.856,6395586.127,6412054.981,7172270.19,6552567.424,7043166.453,6266577.872,6966324.736,9200288.423,7267461.522,5760459.657,11091832.54,7160753.051,5193484.642,7797633.164,7457564.307,6529978.204,6533401.981,8878079.078,4725416.755,5994613.098,9393075.594,8711146.33,6889103.606,7598023.897,7835267.324,6048100.882,6962493.808,6287193.412,8038419.347,6221891.369,9321755.755,5314823.002,8355562.11,5876369.964,6426475.553,6716234.784,6416146.571,7339128.091,8013979.733,6192297.377,6964253.687,6397479.602,6284010.38,8439227.095,5936286.72,9619588.305,8703256.392,8809705.823,7736196.201,7913160.386,6178587.392,6620184.564,6259079.657,6411053.456,6870712.635,6055019.561,7637898.26,7358985.88,7380993.304,7528067.486,5288381.363,5531731.337,6124825.123,6017387.742,5619485.87,5709067.486,6867427.691,7643865.173,5914194.044,5030889.806,7055686.036,9870932.592,4962454.469,4980556.272,6681383.552,6143557.365,6272274.195,5548300.475,5634650.265,8020849.778,5699303.719,5634619.588,6042292.361,5852508.647,6908446.568,4911574.546,4159179.747
44,0.796016667,795899.2464,639945.0365,643778.3781,633602.8824,645167.2192,640344.992,662141.3714,657890.2671,616439.9068,602180.8663,685814.6471,625610.2347,603333.0802,467055.221,358880.1506,620384.3627,646249.0429,607061.5513,583803.7029,633242.9883,651695.588,606238.8769,1307583.229,85318.2,460130.703,408315.4653,663568.1365,612345.8073,589760.3019,580854.2069,612463.9935,617143.7379,662310.8706,561958.6669,603124.2203,777240.5858,463596.1631,459536.0538,314977.915,643256.6105,659038.2389,625745.495,628403.8686,616337.3999,633478.6667,853639.7556,648232.7797,673663.8253,636126.7155,76386.66667,1325494.994,327422.624,827227.3544,72592.2,88740,312358.571,645276.7767,836404.5222,494308.2282,205922.0384,599595.0195,557177.5612,357445.5964,705436.0349,504221.208,876530.8868,568577.8967,550008.1941,450089.766,515017.1292,67162.752,514031.7473,965066.8896,124673.4,520399.4187,1380124.079,554025.2859,958148.4314,809721.1433,1532305.684,724568.7051,609162.3002,1146506.036,66938.08533,437193.1711,868910.1833,569611.9628,811739.9628,1109910.778,118850.4973,663275.9899,721353.8821,998642.3206,547799.7042,506176.2489,152420.275,50234.4,551061.3443,849884.5114,368764.9656,473968.4295,553834.0893,873814.2,761533.8016,443177.6345,725382.6297,1242815.039,860697.9493,394593.8498,449142.5945,67107.6,743092.4393,397897.376,842502.5048,613910.4443,492883.5159,481725.0844,555061.6885,688271.8129,419960.8013,1411251.019,1345520.672,647452.5974,666481.2652,1336933.456,490236.32,471509.1251,481037.4132,507246.7355,401016.1658
44,1.755616667,658363.7334,646819.5673,648135.8191,659946.5541,665994.8293,660726.4139,697579.5357,720549.1633,629712.4342,617773.0265,744666.7254,666673.7336,643435.4158,4309369.495,875728.1034,646494.7412,670216.5949,624524.2601,607442.5003,668593.5112,698070.1941,645146.9157,641394.141,882254.3559,998540.2485,90936,682109.0118,642144.5032,619162.482,592415.1299,652834.6976,661537.9557,675573.4743,527563.3749,629120.2306,2698229.09,763979.4429,488302.4236,102542.4,658776.5508,680027.9307,647196.9164,627525.3569,644033.1242,655419.8499,1175768.341,626542.1253,675880.2123,640483.7989,439652.8248,916974.4046,772342.1998,466764.7802,59707.8,59259.6,362006.3431,557154.2548,604297.9178,456507.5787,62096.4,609661.6019,555657.823,701859.496,713690.7151,473566.3617,573383.1782,576090.7464,527619.9336,415006.7935,524572.7262,989416.7588,544285.056,974441.6086,720861.5364,782748.9647,373366.388,562140.125,409370.528,697306.4427,93785.4,524264.448,76044.6,568653.9925,633752.19,613245.6437,964409.848,516639.3354,727490.7407,434755.0896,1070981.398,602431.2103,3517222.632,73749.6,575896.3649,2875713.146,527214.9419,774902.613,470260.7864,698028.9331,273511.0458,394702.399,102898.8,451719.0347,491462.3212,254657.9077,582311.0693,717333.6738,125629.2,799084.52,675354.576,942546.1533,941090.0741,91695.6,560938.7467,823585.4113,1104701.308,496095.4206,768924.104,38087.168,418649.5405,3146586.777,838229.3214,640490.2942,460049.948,697347.0309,457568.2512,474207.6712,427916.7103,878431.3235,3391940.828
40,2.304183333,8449665.438,8609277.239,8719296.778,7885958.047,8130076.962,9081312.34,8956637.373,9896039.237,8786347.602,8655354.725,9025388.336,8797698.395,8759582.722,9534597.109,9343831.767,9245858.958,10589411.83,8317603.544,8355693.306,9232091.44,9454842.821,9628792.812,8760254.553,8822066.732,9930601.239,9920423.965,8965700.136,8695038.443,8508959.255,8470805.547,9936547.328,9882923.091,9052851.814,8748158.374,8639836.1,9501614.047,7976346.099,9468014.073,8339571.889,8190058.635,8281332.655,8390894.211,9444193.75,9439282.031,8629935.638,8357066.342,8657826.7,8921025.657,8689168.715,8590590.881,8169881.872,9061806.907,7313902.977,7916831.665,7279901.141,8388943.478,8074888.267,8994899.826,9152186.645,9187618.529,9053355.63,6761475.106,8853657.942,7941617.954,7684712.975,8082212.843,7286378.741,7090839.969,8296119.49,7902704.401,8842046.558,7842839.933,8750778.529,8754319.851,8032429.409,8592447.71,8592564.864,8107004.039,8607389.706,8386367.895,7404888.005,8549366.037,8609001.933,7852219.907,8448715.31,8621613.349,8073237.873,7744407.435,5952711.25,10217835.55,10125396.54,10321295,10224187.33,10116198.27,10382975.95,10297479.15,9864332.616,9985592.685,9433324.343,10320097.14,10638772.36,9864807.964,9819080.012,9988177.681,9660302.08,10210576.4,9876303.943,9757702.616,14929184.17,10227159.46,9972605.884,9838665.864,8466155.661,8587871.773,9459878.595,9173069.449,9257647.537,9796753.42,9523417.217,9771451.425,9714321.726,9813581.135,9127597.157,9314087.3,9636436.68,9799656.093,11678418.05,8290066.42,11110730.69,9346605.052
44,2.530525,7923257.38,5911876.316,5832286.976,10513050.98,13664340.26,7969543.057,8325848.587,12478119.29,10228999.45,2908211.652,10265886.17,7668633.932,10183745.91,7672923.586,5893338.23,2821759.875,17649699.44,19392971.97,5505697.501,17415263.74,9674528.405,6389401.448,4688795.389,2893903.787,3112256.485,3911560.848,3748856.403,3974304.315,4615756.741,3544714.723,6312204.292,7529015.672,7965945.736,4875991.007,7289177.64,3669445.243,3959376.256,4934651.258,3459798.689,5058657.775,4889797.156,5339634.789,4352616.123,5794579.862,5030354.688,14754149.14,9191628.606,5633668.114,4550255.597,4121526.449,6536622.52,4591240.204,2386986.76,2737431.676,2817377.912,7718560.697,4678701.426,4563099.84,8026352.862,5526525.514,6074012.18,5780106.427,5595179.467,7982831.419,4365053.115,6625648.687,8173853.902,9563916.367,4544526.828,6278244.353,9628268.367,4074047.206,5311582.639,4469269.362,5320226.279,11278330.65,8254527.164,1472582.095,1783539.763,6697508.447,2468480.231,9174838.348,5951144.146,4522851.553,10904768.04,6257008.095,8760454.097,6928457.272,1040723.088,5812632.946,3110029.351,8655379.631,6640967.207,4550712.703,7601291.868,2638844.848,6825104.713,7144367.959,2847562.761,4751862.022,7375987.953,5636868.922,8513763.691,7413127.643,6159420.413,6796078.786,7093518.108,4550867.828,3546311.228,3033547.794,3142381.343,3315560.487,5196202.841,5260612.4,5626587.845,5838009.817,4123514.224,5868833.321,7147307.743,6936832.928,7952708.689,2774550.516,4950916.44,5475198.528,5246222.855,12699428.98,7216848.292,2175533.38,1220469.64,5967263.255
45,2.585816667,209885.2902,316916.3757,190890.416,130733.1578,190989.0328,254287.6973,164453.7085,160362.7383,129528.8822,134450.9431,143794.4477,118424.6283,112023.2302,41310.75471,182305.2819,203905.8666,229964.0474,279010.6221,232401.8606,217598.2809,72489.06725,374794.9468,125952.2088,165249.6734,170047.6942,279555.6203,164288.8048,70514.65729,198746.8661,235999.6388,136907.6099,119071.5958,147889.0061,77378.70619,139250.1775,169602.3697,45873.94459,171702.1219,138708.1979,231252.7634,345469.9072,185061.3874,193182.13,160746.9,144457.768,202218.0767,130409.6234,195741.2062,170708.9464,455738.4991,506876.6299,530573.1404,8932370.096,9224119.91,9847994.243,117684.8247,141324.9876,160395.4396,235876.7646,200706.8148,278792.0387,89024.15112,114049.475,114692.8491,197299.5751,225119.2,210043.8119,216597.5639,52202.7085,107003.0923,114478.3581,134942.0041,149271.616,174318.0302,150056.2396,115368.796,222452.4797,135469.0845,93246.08577,81221.9956,398095.541,380617.831,306219.008,133967.5585,105704.0575,269532.8008,198284.0205,117499.6936,15172.65751,77529.6545,73200.86307,78397.23748,71693.76956,69958.31785,65983.98533,68064.25942,71170.31074,72975.73733,90369.07832,88037.63999,101818.7091,139653.0287,72061.20435,86109.25585,80421.8445,357026.3561,410650.5184,410874.9971,58513.13798,71188.50185,81246.49586,42573.70095,51987.74798,55109.57713,51678.36377,63431.21914,59540.61208,58229.97343,67878.3165,140913.9262,168262.5414,145858.7508,33428.06769,65218.31175,56988.96567,131995.6059,23541.95875,51633.30249,61303.58058,65535.29999
46,2.857783333,55533.41659,61115.96114,88067.94942,50350.32059,80097.20595,75531.56543,78621.84444,28664.95894,41559.3497,54005.33798,56426.69195,63318.00116,28221.97117,52676.86102,30142.80572,28867.79903,78765.16912,52382.96509,54387.81895,73210.91666,33058.55528,88980.84314,62647.74512,36879.78516,40572.62364,39513.64899,49435.61637,66337.05893,76165.76271,51422.87498,51405.62557,62282.73153,67975.88995,38330.90561,63913.77433,91256.22057,29123.63323,49006.44422,39304.67528,88202.21888,122706.8581,93752.25293,51488.24277,61490.16043,74509.59819,84614.11933,57702.05107,103025.6081,107316.7954,203265.7363,251351.3006,229040.4767,3637225.466,3875350.513,4017179.663,70722.87671,45770.38127,67310.44795,29685.22652,43600.07168,53561.82585,36152.22216,55634.63591,43130.61922,44343.31829,74394.22573,73032.9292,73400.35814,19014.92006,31913.09764,50077.06938,30857.7921,45602.79204,45623.31737,78919.39037,59944.14668,97417.68893,73361.0573,96970.83676,58137.65605,157551.1736,49184.55368,50384.58397,39184.40917,56324.05347,70133.40133,70515.99565,57026.8155,5570.872612,21695.99107,33456.51674,36172.41768,20558.46093,27250.91181,27157.7556,15399.19996,19102.79398,20176.33579,20417.28334,31202.09045,30681.36864,47887.74271,28584.85908,44282.36264,36350.03164,226333.2504,260421.6252,263742.4706,15607.45205,31703.63929,32043.47336,9583.737675,15564.58262,14298.30951,15977.29187,19709.08384,21586.18552,19882.83435,32672.25311,80924.12664,97598.5315,82814.36316,19369.55924,27821.43767,24525.2276,38634.33241,25405.81275,20028.66974,30253.75517,30574.40548
48,2.505416667,59594.81327,58575.22284,55026.30615,36872.54071,43167.77019,48981.2573,117846.1386,23953.41681,29813.15151,26042.25322,26908.43569,34954.02338,33330.73605,17926.81709,19257.24533,21310.01794,33154.94121,32356.54636,34735.9001,94192.45898,26540.64843,43726.1177,42329.65478,45270.1334,50537.17636,53351.48264,35036.40234,37712.73782,41806.57386,67624.76582,59143.65505,49547.02291,96282.92429,28008.11408,37246.64983,38380.012,24992.71329,33842.49073,29852.28878,39567.47721,41598.86751,46987.25079,30101.5133,33902.4954,41386.87477,120922.7246,30154.62781,46105.0352,33041.19246,73214.25,85460.66086,74935.72273,23884.03322,33662.43754,43391.21453,21114.26993,28908.23846,34866.17786,26633.31405,34168.02698,26766.31398,19474.1352,28291.74644,25757.72078,29609.59273,34643.49857,32407.45756,99899.40584,13430.78656,21329.7515,20690.06583,36634.79121,38093.67793,36432.32238,29045.47629,32895.35371,31987.51917,17925.45492,22412.01015,23166.57698,87476.02856,98523.80414,103732.4299,26672.31775,33139.17293,36067.4379,105239.58,76709.64,209371.3585,19137.82257,18281.60283,17370.6494,16657.98507,17600.21086,16881.84956,32413.38498,39232.71462,35946.05993,29405.60243,34251.04275,40242.6455,61099.37221,14937.7191,15255.21234,15565.75923,60883.96197,60873.92075,32645.67683,8622.131188,18689.09007,16743.07434,5509.357829,9393.169317,6991.761827,6662.105423,8362.694092,3699.150484,11761.95482,14836.98792,12511.77249,15876.98912,10844.6702,8152.387437,9425.900642,9035.30472,54814.06104,32280.28523,10035.43852,11975.49141,13316.09689
50,2.393816667,16888.97194,16919.2604,18261.56518,18709.00156,20085.18092,18884.5965,51129.91698,11051.89749,17146.206,11180.18878,5625.326524,9078.435135,7937.613568,12740.6295,14066.46431,13119.53815,12296.64975,16440.41714,15163.63908,46330.50135,5768.208055,20867.01354,21799.95593,6614.776669,10156.16983,10462.33847,16621.74121,22430.67877,22809.1944,18723.1342,22188.7736,20201.12839,47245.31723,11067.35726,23568.80234,24775.052,9146.946769,10401.46983,13832.66258,8300.999417,11369.18677,10062.51805,19540.35938,23717.95937,23835.7521,54915.8886,12792.60938,22968.71297,16690.192,5347.116609,9643.221293,9525.045908,6420.182243,7923.288177,7737.656283,6025.006161,9568.931841,9917.700417,11301.35067,16727.74111,13160.88651,23260.66476,28814.44554,30040.53315,10226.80616,16351.1478,15800.25411,44040.24137,3586.181074,12794.40878,12491.55744,27157.60413,37931.12707,34108.5267,13508.08366,19557.22875,20037.31689,3149.794421,6874.704582,5674.173899,6538.411287,7987.626648,8795.776071,233832.9055,278931.7418,268002.3628,48559.09292,41390.74739,549.5068932,11503.2893,17046.02031,16242.82588,9854.904519,10805.53345,13794.75723,1393.384423,2461.016976,2596.710761,4312.676637,6454.183566,6843.367626,42513.9715,15096.97729,14179.473,12962.7015,120901.3271,133720.368,133282.453,4384.561512,13114.21579,14418.36728,8665.164674,11618.79526,11967.366,6913.21477,12116.35844,8225.445465,9926.001702,16624.86348,11650.71361,14129.10871,15630.03825,25793.27438,31783.21268,27712.78478,41667.29976,25188.0012,10534.13745,12538.06008,14398.90062
47,2.855983333,68651.0422,67531.92837,127171.8507,72253.13021,130603.2005,114740.562,91148.27738,35738.05455,39764.81415,30985.884,24030.87126,27493.55354,27620.04363,17479.10344,18148.39882,24107.45493,48755.13951,41349.8224,43218.14886,74203.55884,36145.64345,155612.7834,97443.81148,48007.9514,46443.5156,45201.37785,65137.32112,97297.45702,118978.1961,81143.70355,79346.49832,106691.9438,84051.40762,54474.79477,94606.44505,159535.5377,1246171.09,1375469.479,1230467.926,158479.1268,232267.7658,164717.892,65053.78741,77613.02678,108984.7481,117863.6257,91623.54,187703.7926,192583.6179,50729.64,39946.77995,41071.16265,28544.33205,30610.88752,33628.09116,129713.324,60121.90812,111317.1875,25059.06721,32222.36743,55107.00726,41308.378,75998.75219,52245.50886,67590.6672,47755.34251,47604.12888,92073.04875,17546.67786,26725.24623,65807.7814,25835.71144,39626.184,35677.30884,147930.7647,91505.65105,175421.5679,136557.6123,181984.162,91598.52717,43115.65814,43316.85863,46274.89674,59228.19143,73785.11871,104008.321,86003.87386,66371.99363,418620.7113,23205.67695,35515.584,45327.15586,23460.04062,21855.76582,24970.75611,36810.9747,41645.30716,40253.21714,18165.11573,40936.77507,22284.21764,54148.85443,52295.21807,75483.52504,64407.21345,508747.2098,585151.2287,594541.9966,19629.15177,59737.86667,56423.62693,6165.477405,9996.985229,11197.97147,6518.205071,22567.80255,21743.58926,46748.79148,61967.98129,166778.2377,191395.5452,160840.7982,32814.45942,43216.50673,36740.52537,43915.954,20160.75508,30027.96429,48746.12164,38759.35118
